,0,1,2,3,4,5,6,7,8,11,12,13
0,NOTARÍA 55, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, MOLINO 103 INT. 2DO PISO, VALLE DE LAS TROJES  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2014, ,venturadavila@gmail.com,,
1,NOTARÍA 60, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, C.C. PLAZA KRISTAL, TORRE “B” OFICINA 108 INT. 1ER. PISO, SAN LUIS  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2018,, 'com');alberto.solis@notaria60ags.com],
2,NOTARÍA 22, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, MONTES HIMALAYA 610, FRACC. JARDINES DE LA CONCEPCION 2A.SECC.  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2000, LOS MISMOS,notaria_22personal@hotmail.com,,
3,NOTARÍA 18, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, AV. ADOLFO LOPEZ MATEOS 1001 PLAZA KRISTAL INT. TORRE B 2do P.INT208, SAN LUIS  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 1982, TODAS LAS LINEAS,notaria18ags@hotmail.com,,
4,NOTARÍA 47, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, MONTE EVEREST 100, BOSQUES DEL PRADO NORTE  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2000, 01 449 996 1974,notariaaduran@prodigy.net.mx,,
5,NOTARÍA 24, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, LANCEROS DE AGUASCALIENTES 203, LAS FLORES  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2007, 01 449 9187 044,notaria24ags@hotmail.com,,
6,NOTARÍA 46, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, JOSEFA ORTIZ DE DOMINGUEZ 232 INT. DESP 3, CENTRO  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 1999, ,cironotaria46ags@yahoo.com.mx,,
7,NOTARÍA 17, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, SIERRA HERMOSA 110, BOSQUES DEL PRADO  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2006, 01 449 913 13 10,efren_gonzalezc@hotmail.com,,
8,NOTARÍA 23, AGUASCALIENTES, AGUASCALIENTES, CARACTER: SUPERNUMERARIO, ANDES APENINOS 103, FRACC. LOS BOSQUES  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2010, 01 449 916 7330,notaria23ags@hotmail.com,,
9,NOTARÍA 29, AGUASCALIENTES, AGUASCALIENTES, CARACTER: TITULAR, AV. LOPEZ MATEOS PLAZA KRISTAL 1001 INT. LOCAL 119, SAN LUIS  AGUASCALIENTES, AGUASCALIENTES, Socio desde: 2011, 01 449 916 7330,notaria_29@hotmail.com,,
