,0,1,2,3,4,5,6,7,8,11,12,13
0,NOTARÍA 136, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, RIO DUERO 36, CUAUHTEMOC  MEXICO, CIUDAD DE MEXICO, Socio desde: 1973, 55 25 7153,gomez_eiturbide@notarias136y139.com,,
1,NOTARÍA 208, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, PLATON 430, POLANCO  MEXICO, CIUDAD DE MEXICO, Socio desde: 1998, 1084 2651,notario@notario208.com,,
2,NOTARÍA 83, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, AV. PASEO DE LAS PALMAS 555 INT. DESP 902, LOMAS DE CHAPULTEPEC  MEXICO, CIUDAD DE MEXICO, Socio desde: 1994, 5540 7307,atsclex@prodigy.net.mx,,
3,NOTARÍA 236, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, AV. CUAUHTEMOC 738, NARVARTE  MEXICO, CIUDAD DE MEXICO, Socio desde: 2008, 56 69 1424,adominguez@notaria236.com.mx,,
4,NOTARÍA 240, CUAJIMALPA, CIUDAD DE MEXICO, CARACTER: TITULAR, PROLONGACION BOSQUE DE LA REFORMA 1813 INT. PISO 12, LOMAS DE VISTA HERMOSA  CUAJIMALPA, CIUDAD DE MEXICO, Socio desde: 2004, 5661 4340,moncada@notaria240.com.mx,,
5,NOTARÍA 162, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, MILWAUKEE 17, NAPOLES  MEXICO, CIUDAD DE MEXICO, Socio desde: 2008, 56 69 1164,agportugal@notaria162.com.mx,,
6,NOTARÍA 31, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, EUGENIO SUE 342, POLANCO  MEXICO, CIUDAD DE MEXICO, Socio desde: 1997, 5250 9224,alfonso_gonzalez@notarias19y31.com,,
7,NOTARÍA 238, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, AV. INSURGENTES SUR 1425 INT. PISO 1, INSURGENTES MIXCOAC  MEXICO, CIUDAD DE MEXICO, Socio desde: 2006, 55 36 45 50,notaria238@prodigy.net.mx,,
8,NOTARÍA 5, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, MOTOLINIA 6 INT. 1ER PISO, CENTRO  MEXICO, CIUDAD DE MEXICO, Socio desde: 1987, 5521 9916,azi@notaria5.com.mx,,
9,NOTARÍA 237, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, CALLE LIRA 7, PRADOS DE COYOACAN  MEXICO, CIUDAD DE MEXICO, Socio desde: 1998, 56845630 EXT 124,, 'net.mx');not237@prodigy.net.mx],
10,NOTARÍA 230, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, BOSQUE DE CIRUELOS 255, BOSQUES DE LAS LOMAS  MEXICO, CIUDAD DE MEXICO, Socio desde: 1999, 52 028089,notaria230@notaria230.com.mx,,
11,NOTARÍA 144, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, AMORES 115, DEL VALLE  MEXICO, CIUDAD DE MEXICO, Socio desde: 1994, TODOS LOS TELS.,notaria144@prodigy.net.mx,,
12,NOTARÍA 2, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, MONTERREY 340, ROMA SUR  MEXICO, CIUDAD DE MEXICO, Socio desde: 1977, 5584 9290,notaria2df@prodigy.net.mx,,
13,NOTARÍA 47, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, AV. ACOXPA 12 INT. 101, SANTA URSULA COAPA  MEXICO, CIUDAD DE MEXICO, Socio desde: 1992, 5677 8777,contacto@notaria47df.com.mx,,
14,NOTARÍA 141, MEXICO, CIUDAD DE MEXICO, CARACTER: TITULAR, TIBURCIO MONTIEL 12, SAN MIGUEL CHAPULTEPEC  MEXICO, CIUDAD DE MEXICO, Socio desde: 2011, 52 71 8099 EXT. 199,alfredo@notaria141.com.mx,,
