,0,1,2,3,4,5,6,7,8,11,12,13
0,NOTARÍA 4, SAN JOSE ITURBIDE, GUANAJUATO, CARACTER: TITULAR, ALLENDE 8 INT. D, CENTRO  SAN JOSE ITURBIDE, GUANAJUATO, Socio desde: 1998, ,abferrome@hotmail.com,,
1,NOTARÍA 77, LEON, GUANAJUATO, CARACTER: TITULAR, BLVD. DEL SOL 100 INT. 3, VALLE DEL SOL  LEON, GUANAJUATO, Socio desde: 2009, 01 477 716 7303,notario77leon@yahoo.com.mx,,
2,NOTARÍA 9, ACAMBARO, GUANAJUATO, CARACTER: TITULAR, GUADALUPE VICTORIA 319 INT. 1, CENTRO  ACAMBARO, GUANAJUATO, Socio desde: 2004, 0141 7172 5804,not9acambaro@prodigy.net.mx,,
3,NOTARÍA 32, GUANAJUATO, GUANAJUATO, CARACTER: TITULAR, JARDIN UNION Y ALLENDE 3 INT. 4, CENTRO  GUANAJUATO, GUANAJUATO, Socio desde: 2008, 01 473 73 20537,notario32_adriana@yahoo.com.mx,,
4,NOTARÍA 63, IRAPUATO, GUANAJUATO, CARACTER: TITULAR, PASEO DE LAS FRESAS 66, JARDINES DE IRAPUATO  IRAPUATO, GUANAJUATO, Socio desde: 2000, 0146 2624 3329,notaria63corona@hotmail.com,,
5,NOTARÍA 1, SAN JOSE ITURBIDE, GUANAJUATO, CARACTER: TITULAR, ALLENDE 8, CENTRO  SAN JOSE ITURBIDE, GUANAJUATO, Socio desde: 1976, ,albertoferronotariouno@hotmail.com,,
6,NOTARÍA 2, COMONFORT, GUANAJUATO, CARACTER: TITULAR, PIPILA 2-A, CENTRO  COMONFORT, GUANAJUATO, Socio desde: 2018, 014121562637,lic_alma_santoyo@hotmail.com,,
7,NOTARÍA 70, IRAPUATO, GUANAJUATO, CARACTER: TITULAR, BLVD. DIAZ ORDAZ 2888 INT. 2 PISO 1-1, FRACC. LAS REINAS  IRAPUATO, GUANAJUATO, Socio desde: 2011, LOS MISMOS,amartinez_macias@hotmail.com,,
8,NOTARÍA 3, GUANAJUATO, GUANAJUATO, CARACTER: TITULAR, JARDIN UNION Y ALLENDE 3 INT. 3, CENTRO  GUANAJUATO, GUANAJUATO, Socio desde: 2008, 01 473 73 27042,andres_notario3@yahoo.com.mx,,
9,NOTARÍA 25, GUANAJUATO, GUANAJUATO, CARACTER: TITULAR, CONDOMINIO AGORA DEL BARATILLO DESP 13, CENTRO  GUANAJUATO, GUANAJUATO, Socio desde: 1982, 01 473-732-29-80,notariapublica25@prodigy.net.mx,,
