,0,1,2,3,4,5,6,7,8,11,12,13
0,NOTARÍA 6, ACAPULCO, GUERRERO, CARACTER: TITULAR, AVENIDA CRISTOBAL COLON 1612 INT. 201, FRACCIONAMIENTO MAGALLANES  ACAPULCO, GUERRERO, Socio desde: 1992, 017444861022,notaria6acapulco@gmail.com,,
1,NOTARÍA 1, ACAPULCO, GUERRERO, CARACTER: TITULAR, GONZALO DE SANDOVAL 12, FRACCIONAMIENTO MAGALLANES  ACAPULCO, GUERRERO, Socio desde: 1990, 01 744-485-20-75,notaria1acapulco@prodigy.net.mx,,
2,NOTARÍA 5, ACAPULCO, GUERRERO, CARACTER: TITULAR, NAO TRINIDAD| 7, FRACCIONAMIENTO COSTA AZUL  ACAPULCO, GUERRERO, Socio desde: 2019, 744 481 1482,catalina.garcia@notaria10acapulco.com,,
3,NOTARÍA 12, ACAPULCO, GUERRERO, CARACTER: TITULAR, AV. WILFRIDO MASSIEU 8 INT. DESP. 209 Y210, MAGALLANES  ACAPULCO, GUERRERO, Socio desde: 2011, ,notaria12acapulco@gmail.com,,
4,NOTARÍA 8, ACAPULCO, GUERRERO, CARACTER: TITULAR, AV. COSTERA MIGUEL ALEMAN 2112 INT. DESP 101, FRACCIONAMIENTO FARALLON  ACAPULCO, GUERRERO, Socio desde: 2005, 01 744 484 51 00,, 'btu', 'com.mx');notaria8@btu.com.mx]
5,NOTARÍA 13, ACAPULCO, GUERRERO, CARACTER: TITULAR, VASCO NUÑEZ DE BALBOA 21, FRACCIONAMIENTO HORNOS  ACAPULCO, GUERRERO, Socio desde: 2011, ,notario13@hotmail.com,,
6,NOTARÍA 11, ACAPULCO, GUERRERO, CARACTER: TITULAR, COSTERA M. ALEMAN S/N, FRACC FARALLON OBISPO  ACAPULCO, GUERRERO, Socio desde: 2005, ,arturonozari@notario11acapulco.mx,,
7,NOTARÍA 1, IGUALA DE LA INDEPENDENCIA, GUERRERO, CARACTER: TITULAR, CRISTOBAL COLON 7-C, CENTRO  IGUALA DE LA INDEPENDENCIA, GUERRERO, Socio desde: 1992, 01 767 675 3211,coyucanot1@hotmail.com,,
8,NOTARÍA 1, ZIHUATANEJO, GUERRERO, CARACTER: TITULAR, ALAMO 8, EL HUJAL  ZIHUATANEJO, GUERRERO, Socio desde: 1995, LOS DOS TELEONOS,notariobolivar@notaria1zihua.com,,
9,NOTARÍA 2, ZIHUATANEJO, GUERRERO, CARACTER: TITULAR, AV. PASEO DEL DEPORTISTA , EL LIMON  ZIHUATANEJO, GUERRERO, Socio desde: 1989, ,notario2@prodigy.net.mx,,
10,NOTARÍA 2, COYUCA DE CATALAN, GUERRERO, CARACTER: TITULAR, AVENIDA REVOLUCION 2, ALAMEDA  COYUCA DE CATALAN, GUERRERO, Socio desde: 2011, ,notaria.dos@hotmail.com,,
11,NOTARÍA 4, ACAPULCO, GUERRERO, CARACTER: TITULAR, COSTERA MIGUEL ALEMAN S/N, FRACC. FARALLON DEL OBISPO  ACAPULCO, GUERRERO, Socio desde: 1992, 0174 4484 7528,nozari@prodigy.net.mx,,
12,NOTARÍA 1, ARCELIA, GUERRERO, CARACTER: TITULAR, JUAN DE LA BARRERA 27, HEROES SURIANOS  ARCELIA, GUERRERO, Socio desde: 2019, 01 732 68 80 222,notaria1arcelia@gmail.com,,
13,NOTARÍA 2, CHILPANCINGO, GUERRERO, CARACTER: TITULAR, ADRIAN CASTREJON 6, CUAUHTEMOC SUR  CHILPANCINGO, GUERRERO, Socio desde: 1999, (01 747) 472-80-56,e_ortizuribe@hotmail.com,,
14,NOTARÍA 2, IGUALA DE LA INDEPENDENCIA, GUERRERO, CARACTER: TITULAR, ALDAMA 45 INT. ALTOS, CENTRO  IGUALA DE LA INDEPENDENCIA, GUERRERO, Socio desde: 2013, ,notaria2iguala@hotmail.com,,
15,NOTARÍA 1, CHILAPA DE ALVAREZ, GUERRERO, CARACTER: TITULAR, AV. REVOLUCION 10 INT. 1, CENTRO  CHILAPA DE ALVAREZ, GUERRERO, Socio desde: 2019, 744 218 9937,admonotaria1chilapagro@hotmail.com,,
16,NOTARÍA 1, HUAMUXTITLAN, GUERRERO, CARACTER: TITULAR, CALLE 6 ORIENTE S/N, BARRIO EL PARAISO  HUAMUXTITLAN, GUERRERO, Socio desde: 2019, 01 7444 45 34 389,notaria1huamux@gmail.com,,
17,NOTARÍA 17, ACAPULCO DE JUAREZ, GUERRERO, CARACTER: TITULAR, AV. COSTERA MIGUEL ALEMAN 125 INT. PISO 1, FRACCIONAMIENTO MAGALLANES  ACAPULCO DE JUAREZ, GUERRERO, Socio desde: 2019, 01 744 202 8342,salgadocoronel@notaria17aca.mx,,
18,NOTARÍA 3, IGUALA, GUERRERO, CARACTER: TITULAR, MIGUEL HIDALGO 16, CENTRO  IGUALA, GUERRERO, Socio desde: 2005, 01 733 332 23 82,notaria3@prodigy.net.mx,,
19,NOTARÍA 3, CHILPANCINGO, GUERRERO, CARACTER: TITULAR, CORREGIDORA 8, CENTRO  CHILPANCINGO, GUERRERO, Socio desde: 2011, 01 747 472 2929,hugopeba@prodigy.net.mx,,
20,NOTARÍA 1, OMETEPEC, GUERRERO, CARACTER: TITULAR, AVENIDA CUAUHTEMOC ESQUINA CALLE CONSTITUCION S/N INT. 1 PISO, CENTRO  OMETEPEC, GUERRERO, Socio desde: 1992, 7414123878,notaria1ometepec@hotmail.com,,
21,NOTARÍA 1, TIXTLA, GUERRERO, CARACTER: TITULAR, ZARAGOZA 15, BARRIO DE SAN LUCAS  TIXTLA, GUERRERO, Socio desde: 2005, 01 754 474 18 82,not1gro@prodigy.net.mx,,
22,NOTARÍA 3, ACAPULCO, GUERRERO, CARACTER: TITULAR, COSTERA M. ALEMAN 2611 INT. TORRE LATINA PISO 1, FRACC. CLUB DEPORTIVO  ACAPULCO, GUERRERO, Socio desde: 1987, 01 744 435 0949,notaria_3@hotmail.com,,
23,NOTARÍA 14, ACAPULCO, GUERRERO, CARACTER: TITULAR, LOMAS DEL MAR (COSTERA VIEJA) 27, FRACCIONAMIENTO CLUB DEPORTIVO  ACAPULCO, GUERRERO, Socio desde: 1981, LOS MISMOS,not14@hotmail.com,,
24,NOTARÍA 1, CHILPANCINGO, GUERRERO, CARACTER: TITULAR, MADERO 10, CENTRO  CHILPANCINGO, GUERRERO, Socio desde: 1976, 01 747 472 65 22,notarialeyva@prodigy.net.mx,,
25,NOTARÍA 1, CHILPANCINGO , GUERRERO, CARACTER: TITULAR, CALLE MADERO 10, CENTRO  CHILPANCINGO , GUERRERO, Socio desde: 2019, 01 747 47 23 751,notarialeyva@prodigy.net.mx,,
26,NOTARÍA 16, ACAPULCO, GUERRERO, CARACTER: TITULAR, AV. UNIVERSIDAD 80 INT. CASA 10, FRACCIONAMIENTO MAGALLANES  ACAPULCO, GUERRERO, Socio desde: 1992, MISMOS,notaria16@btu.com.mx,,
27,NOTARÍA 9, ACAPULCO, GUERRERO, CARACTER: TITULAR, LOCAL COMERCIAL 16 INT. EDIFICIO CONDOMINIO PLAZA ICACOS, FRACCIONAMIENTO COSTA AZUL  ACAPULCO, GUERRERO, Socio desde: 2005, ,notaria9@notaria9acapulco.com,,
28,NOTARÍA 4, ZIHUATANEJO, GUERRERO, CARACTER: TITULAR, AV. FOVISSTE 7, HUJAL  ZIHUATANEJO, GUERRERO, Socio desde: 2005, LOS MISMOS,martin@notaria-4.com,,
29,NOTARÍA 10, ACAPULCO, GUERRERO, CARACTER: TITULAR, NAO TRINIDAD 7, COSTA AZUL  ACAPULCO, GUERRERO, Socio desde: 1978, 01 744 481 1478,miguel.garcia@notaria10acapulco.com,,
30,NOTARÍA 19, ACAPULCO, GUERRERO, CARACTER: TITULAR, CRISTOBAL COLON 210 INT. A, FRACC. COSTA AZUL  ACAPULCO, GUERRERO, Socio desde: 1993, 0174 4484 8390,rrobles19@btu.com.mx,,
31,NOTARÍA 2, ACAPULCO, GUERRERO, CARACTER: TITULAR, ALMIRANTE BRETON 1 INT. PENTHOUSE CINCO, CENTRO DE ACAPULCO  ACAPULCO, GUERRERO, Socio desde: 1992, 01 7444 800043,rosinarojas@notariapublica2acapulco.com.mx,,
32,NOTARÍA 7, ACAPULCO, GUERRERO, CARACTER: TITULAR, COMANDANTE CARREÓN 21, FRACC COSTA AZUL  ACAPULCO, GUERRERO, Socio desde: 2011, 17444846296,samantha@n7aca.com,,
33,NOTARÍA 3, ZIHUATANEJO, GUERRERO, CARACTER: TITULAR, AVE. HEROICO COLEGIO MILITAR 191, CENTRO  ZIHUATANEJO, GUERRERO, Socio desde: 1988, 01 755-554-35-16,olijas50@hotmail.com,,
34,NOTARÍA 15, ACAPULCO, GUERRERO, CARACTER: TITULAR, COST. MIGUEL ALEMAN LA TORRE DE ACAPULCO 87 INT. PB LOCALES 12 Y 14, FRACC. CLUB DEPORTIVO  ACAPULCO, GUERRERO, Socio desde: 1993, ,notaria.15@hotmail.com,,
35,NOTARÍA 1, SAN LUIS ACATLAN, GUERRERO, CARACTER: TITULAR, BENITO JUAREZ 17, CENTRO  SAN LUIS ACATLAN, GUERRERO, Socio desde: 2014, ,notario@notaria1sanluisacatlan.mx,,
