,0,1,2,3,4,5,6,7,8,11,12,13
0,NOTARÍA 12, TEPEJI DEL RIO DE OCAMPO, HIDALGO, CARACTER: TITULAR, PLAN DE AYALA 12, SAN JUAN OTLAXPA  TEPEJI DEL RIO DE OCAMPO, HIDALGO, Socio desde: 2011, 01 773 733 8502,alugo@notaria12tepeji.mx,,
1,NOTARÍA 7, PACHUCA, HIDALGO, CARACTER: TITULAR, DANIEL CERECEDO ESTARADA 112, PERIODISTAS  PACHUCA, HIDALGO, Socio desde: 2011, 01 771 718 7060,notaria7titular@live.com.mx,,
2,NOTARÍA 10, TULANCINGO DE BRAVO, HIDALGO, CARACTER: TITULAR, PRIVADA RICARDO GARIBAY 100 INT. D, FRACC. LOS PINOS  TULANCINGO DE BRAVO, HIDALGO, Socio desde: 2011, ,notariapublica10tulancingo@hotmail.com,,
3,NOTARÍA 2, TULANCINGO, HIDALGO, CARACTER: TITULAR, SAN VICENTE 100 INT. 106, CENTRO  TULANCINGO, HIDALGO, Socio desde: 1980, 01 775 75 43036,notario_2@yahoo.com.mx,,
4,NOTARÍA 23, PACHUCA, HIDALGO, CARACTER: TITULAR, BOULEVARD REAL DEL VALLE 901 INT. PISO 3, REAL DEL VALLE  PACHUCA, HIDALGO, Socio desde: 2017, 017717104078,contacto@notaria23pachuca.com.mx,,
5,NOTARÍA 3, ATOTONILCO EL GRANDE, HIDALGO, CARACTER: TITULAR, PLAZA PRINCIPAL 2, CENTRO  ATOTONILCO EL GRANDE, HIDALGO, Socio desde: 2003, 01 774 74 31217,not3_asotorojas@hotmail.com,,
6,NOTARÍA 16, PACHUQUILLA MPIO. MINERAL DE LA REFORMA, HIDALGO, CARACTER: TITULAR, AVENIDA HIDALGO 58, CENTRO  PACHUQUILLA MPIO. MINERAL DE LA REFORMA, HIDALGO, Socio desde: 2009, LOS MISMOS,notaria16pachuca@gmail.com,,
7,NOTARÍA 22, PACHUCA, HIDALGO, CARACTER: TITULAR, BLVD. VALLE DE SAN JAVIER 520, VALLE DE SAN JAVIER  PACHUCA, HIDALGO, Socio desde: 2004, 01 771 719 6732,notaria22pachuca@gmail.com,,
8,NOTARÍA 1, HUICHAPAN, HIDALGO, CARACTER: TITULAR, AV. PEDRO MARIA ANAYA 27-C INT. LOCAL 9, CENTRO  HUICHAPAN, HIDALGO, Socio desde: 1982, LOS MISMOS,notarahgo@hotmail.com,,
9,NOTARÍA 14, PACHUCA, HIDALGO, CARACTER: TITULAR, ARTICULO TERCERO TORRE COBY 97 INT. 2NDO PISO, FRACCIONAMIENTO CONSTITUCION  PACHUCA, HIDALGO, Socio desde: 2005, 01 771 107 17 02,ana.flores@notaria14pachuca.mx,,
10,NOTARÍA 2, ZIMAPAN, HIDALGO, CARACTER: TITULAR, CALLE H. COLEGIO MILITAR 10 INT. D, CENTRO  ZIMAPAN, HIDALGO, Socio desde: 2005, 01 759 72 821 35,gelabulos@hotmail.com,,
11,NOTARÍA 4, ACTOPAN, HIDALGO, CARACTER: TITULAR, PLAZA JUAREZ 2 INT. P.A. LOCALES 11 Y 12, CENTRO  ACTOPAN, HIDALGO, Socio desde: 2006, 01 772 728 1230,notaria4actopan@yahoo.com.mx,,
12,NOTARÍA 12, TULANCINGO, HIDALGO, CARACTER: TITULAR, AVENIDA BENITO JUAREZ NORTE 202, CENTRO  TULANCINGO, HIDALGO, Socio desde: 2017, 7757538241,notariapublica12tulancingo@gmail.com,,
13,NOTARÍA 2, TIZAYUCA, HIDALGO, CARACTER: TITULAR, CALZADA JULIAN VILLAGRAN 40, BARRIO DE NACOZARI  TIZAYUCA, HIDALGO, Socio desde: 2010, 01 779 796 9205 EXT. 202,notario_dos@prodigy.net.mx,,
14,NOTARÍA 8, PACHUCA, HIDALGO, CARACTER: TITULAR, VETA VIZCAINA 210, REAL DE MINAS  PACHUCA, HIDALGO, Socio desde: 1984, 01 771 27384 57,notario8@yahoo.com.mx,,
15,NOTARÍA 2, TULA DE ALLENDE, HIDALGO, CARACTER: ADSCRITO, MATAMOROS 204, BARRIO ALTO  TULA DE ALLENDE, HIDALGO, Socio desde: 2011, 01 773 732 0199,marcelavieyra@prodigy.net.mx,,
16,NOTARÍA 13, TULA DE ALLENDE, HIDALGO, CARACTER: TITULAR, PLAZA DE LA CONSTITUCION 213 6, CENTRO  TULA DE ALLENDE, HIDALGO, Socio desde: 2017, 017731641726,notaria13tula@gmail.com,,
17,NOTARÍA 5, PACHUCA, HIDALGO, CARACTER: TITULAR, PLAZA INDEPENDENCIA 108 INT. 2NDO PISO, CENTRO  PACHUCA, HIDALGO, Socio desde: 2006, 01 771 715 5100,notariahgo5@gmail.com,,
18,NOTARÍA 1, ZACUALTIPAN, HIDALGO, CARACTER: TITULAR, PLAZA CONSTITUCION 10 INT. 2o. PISO, CENTRO  ZACUALTIPAN, HIDALGO, Socio desde: 2004, 01 774 742 01 08,notaria_uno_zacualtipan@hotmail.com,,
19,NOTARÍA 16, TEZONTEPEC DE ALDAMA, HIDALGO, CARACTER: TITULAR, AVENIDA VENUSTIANO CARRANZA 6, MANGAS  TEZONTEPEC DE ALDAMA, HIDALGO, Socio desde: 2016, 7717020211,ekcgnotaria16@hotmail.com,,
20,NOTARÍA 4, TULA DE ALLENDE, HIDALGO, CARACTER: ADSCRITO, XICOTENCATL 11, CENTRO  TULA DE ALLENDE, HIDALGO, Socio desde: 2009, 01 773 732 1769,edmundotavera@yahoo.com.mx,,
21,NOTARÍA 3, HUEJUTLA, HIDALGO, CARACTER: TITULAR, PLAZA 21 DE MAYO S/N INT. 2NDO PISO 201, CENTRO  HUEJUTLA, HIDALGO, Socio desde: 2004, ,notaria3huejutla@prodigy.net.mx,,
22,NOTARÍA 2, METZTITLAN, HIDALGO, CARACTER: TITULAR, CENTRO COMERCIAL TEPEYACAPA INT. LOCAL 4 Y 5, TEPEYACAPA  METZTITLAN, HIDALGO, Socio desde: 2011, ,notariadosmetztitlan@gmail.com,,
23,NOTARÍA 14, TEPEJIL, HIDALGO, CARACTER: TITULAR, AVENIDA MELCHOR OCAMPO 80, SAN MATEO  TEPEJIL, HIDALGO, Socio desde: 2017, 7737332458,emir64@hotmail.com,,
24,NOTARÍA 15, TEPEJI DEL RIO DE OCAMPO, HIDALGO, CARACTER: TITULAR, GARDENIA 13 INT. 1ER PISO, EL EDEN  TEPEJI DEL RIO DE OCAMPO, HIDALGO, Socio desde: 2017, 01 773 73 81 73,vieyra_69@yahoo.com.mx,,
25,NOTARÍA 4, TIZAYUCA, HIDALGO, CARACTER: ADSCRITO, C. IGNACIO RODRIGUEZ GALVAN 12 INT. 2NDO PISO, CENTRO  TIZAYUCA, HIDALGO, Socio desde: 2010, 01 779 796 0876,navarretelugoabogados@hotmail.com,,
26,NOTARÍA 1, HUICHAPAN, HIDALGO, CARACTER: ADSCRITO, AV. PEDRO MA. ANAYA 27 INT. C LOCAL9, CENTRO  HUICHAPAN, HIDALGO, Socio desde: 2011, 01 761 782 1449,erigamanis@hotmail.com,,
27,NOTARÍA 4, IXMIQUILPAN, HIDALGO, CARACTER: TITULAR, PLAZA 5 DE MAYO 1 INT. P.A., CENTRO  IXMIQUILPAN, HIDALGO, Socio desde: 2007, 01 759 723 8800,suareznotario4ixmi@gmail.com,,
